Timestamp:  12:12:33  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:38  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:12:43  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:12:48  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:53  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:58  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:13:03  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:08  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:13:13  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:13:18  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:23  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:28  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:13:33  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:38  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:13:43  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:48  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:53  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:13:58  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:03  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:14:08  | %CPU idle:  99,8  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:14:13  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:18  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:23  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:28  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:14:33  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:38  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:43  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:49  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:14:54  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:14:59  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:04  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:09  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:14  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:19  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:24  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:15:29  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:34  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:39  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:44  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:49  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:15:54  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:15:59  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:04  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:09  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:16:14  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:16:19  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:24  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:29  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:34  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:16:39  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:44  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:49  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:16:54  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:16:59  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:17:04  | %CPU idle:  99,6  | %CPU user:  0,0  | %CPU system:  0,2
Timestamp:  12:17:09  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:17:14  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:19  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:24  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:29  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:34  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:39  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
