Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
20:02:17,2570492,628084,15.56
20:02:20,2570492,628084,15.56
20:02:23,2570492,628084,15.56
20:02:26,2570368,628200,15.56
20:02:29,2570368,628196,15.56
20:02:32,2570368,628196,15.56
20:02:35,2570368,628192,15.56
20:02:38,2570368,628192,15.56
20:02:41,2570368,628192,15.56
20:02:44,2570368,628192,15.56
20:02:47,2570368,628192,15.56
20:02:50,2570368,628192,15.56
20:02:53,2570368,628192,15.56
20:02:56,2570368,628188,15.56
20:02:59,2570368,628188,15.56
20:03:02,2570368,628188,15.56
20:03:05,2570368,628188,15.56
20:03:08,2570368,628188,15.56
20:03:11,2570368,628188,15.56
20:03:14,2570368,628188,15.56
20:03:17,2570368,628188,15.56
20:03:20,2570368,628188,15.56
20:03:23,2570368,628188,15.56
20:03:26,2570368,628188,15.56
20:03:29,2570368,628188,15.56
20:03:32,2570368,628188,15.56
20:03:35,2570368,628188,15.56
20:03:38,2570368,628188,15.56
20:03:41,2570368,628188,15.56
20:03:44,2570368,628188,15.56
20:03:47,2570492,628052,15.56
20:03:50,2570492,628052,15.56
20:03:53,2570492,628052,15.56
20:03:56,2570492,628052,15.56
20:03:59,2570492,628052,15.56
20:04:02,2570492,628052,15.56
20:04:05,2570492,628052,15.56
20:04:08,2570492,628052,15.56
20:04:11,2570492,628052,15.56
20:04:14,2570492,628052,15.56
20:04:17,2570492,628052,15.56
20:04:20,2570492,628044,15.56
20:04:23,2570492,628044,15.56
20:04:26,2570492,628044,15.56
20:04:29,2570492,628044,15.56
20:04:32,2570492,628044,15.56
20:04:35,2570492,628044,15.56
20:04:38,2570492,628044,15.56
20:04:41,2570492,628044,15.56
20:04:44,2570368,628168,15.56
20:04:47,2570368,628168,15.56
20:04:50,2570368,628168,15.56
20:04:53,2570368,628168,15.56
20:04:56,2570368,628168,15.56
20:04:59,2570368,628168,15.56
20:05:02,2570368,628168,15.56
20:05:05,2570368,628168,15.56
20:05:08,2570368,628168,15.56
20:05:11,2570368,628168,15.56
20:05:14,2570368,628168,15.56
20:05:17,2570368,628168,15.56
20:05:20,2570368,628168,15.56
20:05:23,2570368,628168,15.56
20:05:26,2570368,628168,15.56
20:05:29,2570492,628044,15.56
20:05:32,2570492,628044,15.56
